Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,47,67.32,97.64,83.13,99,11.75,12.77,74.47,68.09,40.43,8.51,8.51,0,4.26,4.26,0,0,0,10.64,8.51,0,8.51,8.51,4.26,4.26,2.13,21.28,12.77,2.13,8.51,6.38,2.13,0,8.51,0,2.13,0,0,2.13,0,0,2.13,0,10.64,10.64,0,2.13,2.13,0,0,0,0,0,14.89,4.26,0,0,0,2.13,0,10.64,0,0,0,0,0,0,0,0,4.26,0,2.13,0,2.13,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,19.15,0,2.13,14.89,2.13,0,0,6.38,0,6.38,0,0,0,0,0,0,25.53,10.64,8.51,0,0,4.26,2.13,0
14,1,47,67.32,97.64,83.13,99,11.75,12.77,74.47,68.09,40.43,8.51,8.51,0,4.26,4.26,0,0,0,10.64,8.51,0,8.51,8.51,4.26,4.26,2.13,21.28,12.77,2.13,8.51,6.38,2.13,0,8.51,0,2.13,0,0,2.13,0,0,2.13,0,10.64,10.64,0,2.13,2.13,0,0,0,0,0,14.89,4.26,0,0,0,2.13,0,10.64,0,0,0,0,0,0,0,0,4.26,0,2.13,0,2.13,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,19.15,0,2.13,14.89,2.13,0,0,6.38,0,6.38,0,0,0,0,0,0,25.53,10.64,8.51,0,0,4.26,2.13,0
15,1,47,67.32,97.64,83.13,99,11.75,12.77,74.47,68.09,40.43,8.51,8.51,0,4.26,4.26,0,0,0,10.64,8.51,0,8.51,8.51,4.26,4.26,2.13,21.28,12.77,2.13,8.51,6.38,2.13,0,8.51,0,2.13,0,0,2.13,0,0,2.13,0,10.64,10.64,0,2.13,2.13,0,0,0,0,0,14.89,4.26,0,0,0,2.13,0,10.64,0,0,0,0,0,0,0,0,4.26,0,2.13,0,2.13,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,19.15,0,2.13,14.89,2.13,0,0,6.38,0,6.38,0,0,0,0,0,0,25.53,10.64,8.51,0,0,4.26,2.13,0
16,1,71,53.24,99,2.25,99,23.67,30.99,91.55,60.56,52.11,21.13,19.72,0,15.49,0,0,4.23,1.41,11.27,1.41,0,19.72,4.23,4.23,7.04,0,7.04,5.63,1.41,28.17,21.13,7.04,0,7.04,0,4.23,4.23,0,0,0,0,0,0,18.31,18.31,0,2.82,2.82,0,0,0,0,0,33.8,12.68,2.82,0,0,0,4.23,22.54,0,0,0,0,1.41,0,0,1.41,8.45,0,0,8.45,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,8.45,4.23,0,0,1.41,1.41,0,1.41,1.41,0,2.82,0,0,0,0,0,0,8.45,4.23,2.82,0,0,0,1.41,0
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,8,62.1,99,1,99,8,0,75,50,37.5,25,25,0,12.5,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,12.5,0,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,37.5,12.5,0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,12.5,0,12.5,0
26,1,8,62.1,99,1,99,8,0,75,50,37.5,25,25,0,12.5,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,12.5,0,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,37.5,12.5,0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,12.5,0,12.5,0
27,1,8,62.1,99,1,99,8,0,75,50,37.5,25,25,0,12.5,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,12.5,0,0,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,37.5,12.5,0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,12.5,0,12.5,0
28,1,18,99,92.24,1.17,93.93,18,22.22,88.89,55.56,50,5.56,5.56,0,0,5.56,0,0,0,22.22,11.11,0,22.22,0,5.56,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,16.67,11.11,0,0,0,0,11.11,5.56,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,5.56,5.56,0,0,0,5.56,0,0,0,5.56,0,0,0
29,1,18,99,92.24,1.17,93.93,18,22.22,88.89,55.56,50,5.56,5.56,0,0,5.56,0,0,0,22.22,11.11,0,22.22,0,5.56,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,16.67,11.11,0,0,0,0,11.11,5.56,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,5.56,5.56,0,0,0,5.56,0,0,0,5.56,0,0,0
30,1,18,99,92.24,1.17,93.93,18,22.22,88.89,55.56,50,5.56,5.56,0,0,5.56,0,0,0,22.22,11.11,0,22.22,0,5.56,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,16.67,11.11,0,0,0,0,11.11,5.56,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,5.56,5.56,0,0,0,5.56,0,0,0,5.56,0,0,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,7,89.52,1,97.09,20.23,3.5,28.57,85.71,71.43,57.14,14.29,0,0,0,0,0,0,14.29,28.57,14.29,0,14.29,0,14.29,0,0,0,0,28.57,0,0,0,0,28.57,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,28.57,14.29,0,0,0,0,14.29,42.86
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,13,74.95,40.06,2.93,99,6.5,15.38,76.92,53.85,38.46,15.38,0,0,0,0,0,0,15.38,15.38,7.69,0,7.69,0,0,7.69,0,7.69,7.69,0,0,0,0,0,7.69,0,7.69,0,7.69,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,30.77,7.69,0,7.69,7.69,0,7.69,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,7.69,0,0,0
42,1,22,81.89,66.75,5.07,20.23,11,18.18,90.91,50,36.36,4.55,0,0,0,0,0,0,4.55,9.09,4.55,4.55,9.09,9.09,0,0,4.55,18.18,0,9.09,18.18,18.18,0,0,22.73,4.55,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,13.64,9.09,0,0,0,0,9.09,9.09,0,0,9.09,4.55,0,0,4.55,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,0,9.09,4.55,0,0,4.55,0,0,0,4.55,0,0,4.55,0,0,0,0,0,27.27,0,9.09,4.55,4.55,9.09,0,0
43,1,22,81.89,66.75,5.07,20.23,11,18.18,90.91,50,36.36,4.55,0,0,0,0,0,0,4.55,9.09,4.55,4.55,9.09,9.09,0,0,4.55,18.18,0,9.09,18.18,18.18,0,0,22.73,4.55,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,13.64,9.09,0,0,0,0,9.09,9.09,0,0,9.09,4.55,0,0,4.55,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,0,9.09,4.55,0,0,4.55,0,0,0,4.55,0,0,4.55,0,0,0,0,0,27.27,0,9.09,4.55,4.55,9.09,0,0
44,1,22,81.89,66.75,5.07,20.23,11,18.18,90.91,50,36.36,4.55,0,0,0,0,0,0,4.55,9.09,4.55,4.55,9.09,9.09,0,0,4.55,18.18,0,9.09,18.18,18.18,0,0,22.73,4.55,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,13.64,9.09,0,0,0,0,9.09,9.09,0,0,9.09,4.55,0,0,4.55,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,0,9.09,4.55,0,0,4.55,0,0,0,4.55,0,0,4.55,0,0,0,0,0,27.27,0,9.09,4.55,4.55,9.09,0,0
45,1,74,96.13,77.82,9.25,62.77,10.57,36.49,79.73,55.41,37.84,8.11,4.05,0,2.7,1.35,0,0,4.05,16.22,6.76,4.05,13.51,1.35,1.35,2.7,0,8.11,6.76,8.11,4.05,4.05,0,0,13.51,0,10.81,4.05,1.35,0,0,0,1.35,1.35,2.7,2.7,0,0,0,0,0,0,0,0,6.76,2.7,1.35,1.35,0,0,0,4.05,0,0,0,0,2.7,0,0,2.7,10.81,0,0,10.81,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,5.41,4.05,0,0,4.05,0,0,0,1.35,0,0,1.35,0,0,0,0,0,22.97,8.11,2.7,0,0,0,12.16,0
46,1,55,71.44,99,16.38,47.86,13.75,25.45,83.64,60,45.45,10.91,10.91,0,7.27,3.64,0,0,0,16.36,7.27,0,9.09,5.45,7.27,1.82,0,16.36,5.45,5.45,12.73,10.91,0,1.82,20,3.64,10.91,9.09,3.64,1.82,1.82,0,0,0,1.82,1.82,0,0,0,0,0,0,0,0,25.45,12.73,7.27,0,0,0,3.64,16.36,0,0,0,0,5.45,0,0,5.45,10.91,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,7.27,10.91,3.64,0,5.45,1.82,0,0,0,1.82,7.27,3.64,0,0,0,0,0,9.09,3.64,1.82,1.82,0,0,1.82,0
47,1,43,76.62,17.05,36.92,20.23,21.5,32.56,74.42,58.14,30.23,2.33,0,0,0,0,0,0,2.33,0,0,0,11.63,0,4.65,11.63,0,4.65,13.95,11.63,6.98,0,6.98,0,27.91,0,23.26,2.33,4.65,2.33,11.63,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,4.65,4.65,0,0,2.33,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,9.3,9.3,0,2.33,4.65,2.33,0,0,4.65,0,2.33,2.33,2.33,2.33,0,0,0,11.63,2.33,0,0,0,0,9.3,6.98
